id,pir,name,ceased,taxNumber,kshNumber,ahtiNumber,ohNumber,address,excName,excDate
96585,396309,GÁRDONYI GÉZA ÁLTALÁNOS ISKOLA ÉS ÓVODA,,15396303214,15396303801032214,,,8676 Karád Gárdonyi utca 2 ,,
104224,648851,GÁRDONYI GÉZA ÁLTALÁNOS ISKOLA ÉS SZAKISKOLA,,16761261111,16761261852032211,,,2941 Ács Fő utca 88 ,Lakatos Béla,2009-08-16
105135,664299,GÁRDONYI GÉZA ÁLTALÁNOS ISKOLA SORKIFALUD,,16863552118,16863552852032218,,036699,9774 Sorkifalud Kossuth L. utca 75 ,Simon Zsolt,2007-08-16
101555,612465,GÁRDONYI GÉZA ÁLTALÁNOS ISKOLA SZUHAKÁLLÓ,,,16674792801032205,,,3731 Szuhakálló Bajcsy-Zsilinszky út 47 ,,
102549,622402,GÁRDONYI GÉZA ÁLTALÁNOS MÜVELŐDÉSI KÖZPONT,,,16702141801032207,,,8092 Pátka Vak Bottyán tér 2 ,,
95785,363981,GÁRDONYI GÉZA ÁLTALÁNOS MŰVELÖDÉSI KÖZPONT,,15363987207,15363987801032207,,,8092 Pátka Vak Bottyán tér 2 ,,
100239,592282,GÁRDONYI GÉZA ÁLTALÁNOS MŰVELŐDÉSI KÖZPONT,,,15592286801032207,,,8092 Pátka Vak Bottyán tér 2 ,,
98331,493497,GÁRDONYI GÉZA KOLLÉGIUM,,15493493142,15493493559032201,,039149,1149 Budapest Tábornok út 22 ,Dr. Székely Károly Ákos,2011-12-29
89880,774017,GÁRDONYI GÉZA KÖNYVTÁR ÉS KULTURÁLIS KÖZPONT,,15774019207,15774019932932207,,,2483 Gárdony Gárdonyi Géza utca 1 ,Ocsenás Péter Józsefné,2024-09-01
100915,606053,GÁRDONYI GÉZA KÖRZETI ÁLTALÁNOS ISKOLA ÉS ÓVODA BÁRSONYOS-KERÉKTELEKI,,,16761742801032211,,,2882 Kerékteleki Fő utca 31 ,,
99470,568263,GÁRDONYI GÉZA KÖZÖS FENNTARTÁSÚ ÁLTALÁNOS ÉS ALAPFOKÚ MŰVÉSZETI ISKOLA,,15568261219,15568261852032219,,037056,8460 Devecser Várkert 1 ,Mayer Gábor,2012-09-01
98144,473590,GÁRDONYI GÉZA MŰVELŐDÉSI HAZ,,,15473598932932205,,,3508 Miskolc Sütő J. utca 42 ,,
86606,647272,GÁRDONYI GÉZA MŰVELŐDÉSI HÁZ ÉS KÖNYVTÁR,,16747070110,16747070910132210,,,3231 Gyöngyössolymos Bartók Béla út 2-4 ,Rédéné Német Mária,2022-10-01
105442,669360,"GÁRDONYI GÉZA MŰVELŐDÉSI HÁZ, SPORT ÉS SZABADIDŐKÖZPONT",,16936098213,16936098910132213,,,2163 Vácrátót Szabadság utca 28 ,Wildmann Erika,2011-12-01
102614,623058,"GÁRDONYI GÉZA ÓVODA, ÁLTALÁNOS ISKOLA ÉS KÖNYVTÁR",,,16777833801032212,,,3142 Mátraszele Szabadság út 66 ,,
98007,454580,GÁRDONYI GÉZA ÓVODA MÁTRASZELE,,,15454584851032212,,201093,3142 Mátraszele Szabadság út 67 ,Kazinczi Gáborné,2009-08-01
96548,394866,GÁRDONYI GÉZA SZAKKÖZÉPISKOLA SZAKISKOLA ÉS KOLLÉGIUM,,,15394868802132213,,,2120 Dunakeszi Fő utca 143 ,,
83225,381202,GÁRDONYI GÉZA SZÍNHÁZ,,15381206210,15381206900132210,746166,,3300 Eger Hatvani kapu tér 4 ,BLASKÓ BALÁZS PÁL,2021-02-01
108130,796105,GÁRDONYI GÉZA VÁROSI KÖNYVTÁR,,15796105111,15796105910132211,,,2840 Oroszlány Szent Borbála tér 1 ,Takács Tímea,2012-01-01
100238,592271,GÁRDONYI KISTÉRSÉGI IRODA,,15592279107,15592279841132207,,,2481 Velence Balatoni út 65 ,Nochtáné Sulyok Mariann,2012-11-10
86313,639592,GÁRDONYI ÓVODA,,16702268207,16702268851032207,,029910,2484 Gárdony Óvoda utca 25 ,Vitányiné Horváth Ildikó,2020-07-02
82869,362852,GÁRDONYI POLGÁRMESTERI HIVATAL,,15362852207,15362852841132507,707204,,2483 Gárdony Szabadság út 20-22 ,Jankovics Zoltánné,2020-01-06
95137,337694,"GÁSPÁR ANDRÁS SZAKKÖZÉPISKOLA, SZAKISKOLA ÉS KOLLÉGIUM",,15337692203,15337692853232203,,,6000 Kecskemét Hunyadi János tér 2 ,Leviczky Cirill,2007-08-01
93021,826172,GASZTONYI TAPSIFÜLES ÓVODA,,15826178118,15826178851032218,,202895,9952 Gasztony Fő utca 20 ,Bognárné Peszeszér Lívia,2023-08-16
92508,817835,GÁTÉRI LIGET ÓVODA ÉS SZOCIÁLIS SZOLGÁLTATÓ,,15817833203,15817833851032203,,202583,6111 Gátér Petőfi Sándor utca 12 ,Gulyásné Vida Gyöngyi,2013-07-01
95153,338448,GÁTÉR KÖZSÉG ÖNKORMÁNYZAT POLGÁRMESTERI HIVATALA,,15338442203,15338442841132503,703273,,6111 Gátér Petőfi S. utca 16 ,Toldi Zsolt,2001-10-01
87063,658623,GÁVAVENCSELLŐI CSICSERGŐ ÓVODA ÉS BÖLCSŐDE,,16820340215,16820340851032215,,033288,4471 Gávavencsellő Petőfi utca 5 ,Harkály Gyuláné,2020-08-15
94247,843463,GÁVAVENCSELLŐI KÖZÖS ÖNKORMÁNYZATI HIVATAL,,15843465115,15843465841132515,,,4472 Gávavencsellő Petőfi utca 1 ,Bakos Tóth Ildikó,2020-01-01
93915,838003,GÁVAVENCSELLŐI MŰVELŐDÉSI HÁZ ÉS KÖZSÉGI KÖNYVTÁR,,15838007215,15838007910132215,,,4471 Gávavencsellő Hősök  tere 7/c ,Kőpájerné Tóth Katalin,2023-07-05
93865,837325,GÁVAVENCSELLŐI ÖNKORMÁNYZATI KONYHA,,15837329215,15837329562932215,,,4472 Gávavencsellő Petőfi utca 1 ,Béres Tímea,2023-07-19
96878,404376,GÁVAVENCSELLŐI POLGÁRMESTERI HIVATAL,,15404376215,15404376841132515,716518,,4472 Gávavencsellő Petőfi utca 1 ,Bakos-Tóth Ildikó,2018-11-05
89473,762351,GÁVAVENCSELLŐI SZOCIÁLIS SZOLGÁLTATÓ KÖZPONT,,15762355215,15762355873032215,,,4472 Gávavencsellő Toldi utca 43 ,Galambosiné Bistei Gabriella,2022-02-01
